providerNumber,wageIndex
037285,01.0528
037286,01.0528
037287,01.0528
037288,01.0528
037289,01.0528
037290,01.1117
037291,01.0528
037292,01.0528
037293,01.0528
037294,01.0528
037295,01.0528
037296,01.0528
037297,01.0528
037298,01.0528
037299,01.0528
037324,01.0528
037400,01.0528
037401,01.0528
037402,01.0528
037403,01.0528
037404,01.2827
037405,01.0528
037406,01.0528
037407,01.0528
037409,01.0528
037410,01.0528
037411,01.0528
037413,01.0528
04S002,00.7098
04S011,00.7098
04S014,00.7224
04S015,00.7098
04S017,00.7098
04S019,00.7098
04S020,00.7797
04S021,00.8114
04S027,00.7098
04S029,00.8114
04S047,00.7245
04S055,00.7648
04S071,00.8038
04S074,00.8114
04S078,00.8908
04S080,00.7098
04S084,00.8114
04S114,00.8114
04S119,00.7098
04S132,00.8908
04S153,00.7098
04T002,00.7098
04T014,00.7224
04T015,00.7098
04T022,00.8108
04T027,00.7098
04T036,00.8114
04T039,00.7209
04T041,00.7098
04T062,00.7648
04T071,00.8038
04T078,00.8908
04T084,00.8114
04T085,00.7098
04T088,00.7098
04T118,00.7797
04T119,00.7098
04U001,00.8108
04U002,00.7098
04U011,00.7098
04U015,00.7098
04U039,00.7098
04U050,00.7098
04U051,00.7098
04U067,00.7098
04U072,00.7098
04U076,00.7098
04U081,00.7098
04U091,00.7098
04Z309,00.7098
04Z324,00.7098
040001,00.8108
040002,00.7098
040004,00.8108
040007,00.8114
040010,00.8108
040011,00.7098
040014,00.8114
040015,00.7098
040016,00.8114
040017,00.8000
040018,00.7648
040019,00.7098
040020,00.8421
040022,00.8108
040026,00.8908
040027,00.7943
040029,00.8114
040036,00.8114
040039,00.7209
040041,00.8114
040047,00.7579
040050,00.7098
040051,00.7098
040055,00.7648
040062,00.8000
040067,00.7446
040069,00.7579
040071,00.8114
040072,00.7098
040074,00.8114
040076,00.8716
040078,00.8908
040080,00.7098
040084,00.8114
040085,00.8421
040088,00.7842
040114,00.8114
040118,00.7797
040119,00.7579
040132,00.8908
040134,00.8114
040137,00.8114
040147,00.8114
040152,00.8108
040153,00.7098
040154,00.8114
040155,00.7797
040156,00.8713
041502,00.7648
041505,00.7098
041509,00.7098
041510,00.8713
041515,00.7648
041528,00.8114
041531,00.7098
041532,00.8803
041537,00.8114
041539,00.7098
041568,00.7098
041571,00.7098
041574,00.7098
041580,00.7098
042006,00.7648
042009,00.8108
042010,00.8114
042012,00.8114
043026,00.8114
043028,00.7648
043029,00.7797
043031,00.8114
043032,00.8108
043034,00.7098
043035,00.8908
043300,00.8114
043301,00.8239
044004,00.8108
044005,00.8114
044006,00.7648
044007,00.8114
044011,00.8114
044019,00.8108
044022,00.8114
044503,00.7098
044504,00.8114
044505,00.8908
044511,00.8114
044603,00.8114
044604,00.8114
044605,00.8108
044608,00.7098
044614,00.7098
05B121,01.2500
05S007,01.7251
05S013,01.5177
05S024,01.2500
05S025,01.2500
05S026,01.2500
05S038,01.7827
05S040,01.2827
05S047,01.7251
05S057,01.2500
05S058,01.2827
05S069,01.2500
05S077,01.2500
05S078,01.2827
05S082,01.1769
05S089,01.2500
05S113,01.7251
05S114,01.2827
05S115,01.2500
05S116,01.2827
05S124,01.2827
05S127,01.5862
05S128,01.2500
05S132,01.2827
05S138,01.2827
05S144,01.2827
05S145,01.7986
05S152,01.7251
05S158,01.2827
05S197,01.7251
05S205,01.2827
05S228,01.7251
05S239,01.2827
05S243,01.2500
05S245,01.2500
05S257,01.2500
05S272,01.2500
05S276,01.6900
05S283,01.6900
05S289,01.7251
05S305,01.6900
05S308,01.7827
05S320,01.6900
05S329,01.2500
05S348,01.2500
05S360,01.7538
05S373,01.2827
05S376,01.2827
05S380,01.7827
05S426,01.2500
05S438,01.2827
05S441,01.7827
05S457,01.7251
05S464,01.2891
05S526,01.2500
05S567,01.2500
05S580,01.2500
05S581,01.2827
05S624,01.2827
05S636,01.2500
05S739,01.2827
05S744,01.2500
05S745,01.2500
05S747,01.2500
05S755,01.2827
05S757,01.2500
05S764,01.3950
05S765,01.2827
05T006,01.2500
05T007,01.5659
05T008,01.7251
05T009,01.5177
05T016,01.2805
05T017,01.5862
05T018,01.2827
05T024,01.2500
05T026,01.2500
05T038,01.7827
05T039,01.2500
05T043,01.6900
05T057,01.2500
05T058,01.2827
05T060,01.2500
05T063,01.2827
05T073,01.6960
05T078,01.2827
05T082,01.4349
05T100,01.2500
05T103,01.2827
05T107,01.2805
05T115,01.2500
05T116,01.2827
05T126,01.2827
05T128,01.2500
05T135,01.2827
05T140,01.1756
05T144,01.2827
05T145,01.7986
05T152,01.7251
05T158,01.2827
05T167,01.4015
05T168,01.2500
05T169,01.2827
05T174,01.6085
05T180,01.6900
05T188,01.7827
05T191,01.2827
05T204,01.2827
05T224,01.2500
05T235,01.2827
05T236,01.4349
05T238,01.2827
05T239,01.2827
05T242,01.9025
05T243,01.2500
05T248,01.7986
05T278,01.2827
05T281,01.2827
05T305,01.6900
05T308,01.7827
05T309,01.5862
05T320,01.6900
05T327,01.2500
05T336,01.4015
05T348,01.2500
05T380,01.7827
05T382,01.2827
05T396,01.3666
05T417,01.2500
05T438,01.2827
05T441,01.7827
05T457,01.7251
05T469,01.2500
05T471,01.2827
05T485,01.2827
05T502,01.2827
05T503,01.2500
05T549,01.4349
05T567,01.2500
05T573,01.2500
05T580,01.2500
05T581,01.2827
05T583,01.2500
05T599,01.5862
05T624,01.2827
05T625,01.2827
05T668,01.7251
05T696,01.2827
05T699,01.3950
05T717,01.2827
05T737,01.2827
05T739,01.2827
05T741,01.2827
05T757,01.2500
05T782,01.2827
05U046,01.4349
05U783,01.2500
050002,01.6923
050006,01.3647
050007,01.7301
050008,01.7282
050009,01.7282
050013,01.5649
050014,01.5862
050017,01.5862
050018,01.2827
050022,01.2500
050024,01.2500
050025,01.2500
050026,01.2500
050028,01.2500
050030,01.2500
050036,01.2500
050038,01.7827
050039,01.2500
050040,01.2827
050042,01.3647
050043,01.6923
050045,01.2500
050047,01.7282
050054,01.2500
050055,01.7282
050056,01.2827
050057,01.2500
050058,01.4349
050060,01.2500
050063,01.2827
050067,01.2891
050069,01.2603
050070,01.7301
050071,01.7827
050072,01.6900
050073,01.7030
050075,01.6923
050076,01.7282
050077,01.2500
050078,01.2827
050082,01.4349
050084,01.6738
050089,01.2603
050090,01.6738
050091,01.2827
050093,01.2500
050096,01.2827
050099,01.2603
050100,01.2500
050101,01.7030
050102,01.2500
050103,01.2827
050104,01.2827
050107,01.3666
050108,01.5862
050110,01.3666
050111,01.2827
050112,01.4349
050113,01.7301
050115,01.2500
050116,01.4349
050118,01.4493
050121,01.2500
050122,01.4493
050124,01.2827
050125,01.7827
050126,01.2827
050127,01.5862
050128,01.2500
050129,01.2603
050131,01.7538
050132,01.2827
050133,01.2500
050135,01.2827
050136,01.6738
050137,01.4349
050138,01.2827
050139,01.2827
050140,01.2603
050145,01.7986
050146,01.2827
050149,01.4349
050150,01.5862
050152,01.7282
050153,01.7827
050158,01.2827
050159,01.4349
050167,01.4493
050168,01.2603
050169,01.2827
050174,01.7282
050179,01.2891
050180,01.6900
050189,01.7986
050191,01.2827
050192,01.2500
050194,01.9025
050195,01.9025
050196,01.2500
050197,01.7827
050204,01.2827
050205,01.2827
050211,01.6923
050222,01.2500
050224,01.2603
050225,01.2500
050226,01.2603
050228,01.7282
050230,01.2603
050231,01.2827
050232,01.2805
050234,01.2500
050235,01.4349
050236,01.4349
050238,01.2827
050239,01.2827
050242,01.9025
050243,01.2500
050245,01.2603
050248,01.7986
050254,01.5862
050257,01.2500
050261,01.2500
050262,01.4349
050272,01.2603
050276,01.6900
050278,01.4349
050279,01.2603
050280,01.3950
050281,01.2827
050283,01.6923
050289,01.7301
050290,01.4349
050291,01.6738
050292,01.2500
050295,01.2500
050296,01.7827
050298,01.2603
050300,01.2603
050301,01.2500
050305,01.6923
050308,01.9025
050309,01.5862
050313,01.4493
050315,01.2500
050320,01.6923
050324,01.2500
050327,01.2603
050329,01.2500
050334,01.9025
050335,01.2500
050336,01.4493
050342,01.2500
050348,01.2603
050350,01.2827
050351,01.2827
050352,01.5862
050353,01.2827
050357,01.3666
050359,01.2500
050360,01.7538
050367,01.7030
050373,01.2827
050376,01.2827
050378,01.2827
050380,01.7827
050382,01.2827
050390,01.2500
050393,01.2827
050394,01.4349
050396,01.3666
050397,01.2500
050407,01.7282
050411,01.2827
050414,01.5862
050417,01.2500
050423,01.2500
050424,01.2500
050425,01.5862
050426,01.2603
050434,01.2500
050435,01.2500
050438,01.4349
050441,01.7827
050444,01.3285
050454,01.7282
050455,01.2500
050457,01.7282
050464,01.2891
050468,01.2827
050471,01.2827
050481,01.4349
050485,01.2827
050488,01.6923
050492,01.2500
050496,01.6900
050498,01.5862
050502,01.2827
050503,01.2500
050506,01.3555
050510,01.7538
050512,01.6923
050515,01.2500
050516,01.5862
050517,01.2603
050523,01.6900
050526,01.2603
050528,01.2500
050534,01.2500
050537,01.5862
050541,01.7301
050543,01.2603
050546,01.2500
050547,01.6738
050548,01.2603
050549,01.4349
050551,01.2603
050552,01.2827
050557,01.2891
050561,01.2827
050567,01.2603
050568,01.2500
050570,01.2603
050573,01.2500
050575,01.2827
050580,01.2603
050581,01.2827
050586,01.2603
050588,01.2827
050589,01.2603
050590,01.5862
050597,01.2827
050599,01.5862
050603,01.2603
050604,01.7827
050608,01.2500
050609,01.2603
050616,01.4349
050624,01.2827
050625,01.4349
050630,01.2500
050633,01.2805
050636,01.2500
050641,01.2827
050660,01.2827
050663,01.2827
050668,01.7282
050674,01.5862
050677,01.4349
050678,01.2603
050684,01.2500
050686,01.2500
050688,01.7827
050689,01.6900
050690,01.6738
050696,01.4349
050697,01.3950
050701,01.2500
050704,01.2827
050708,01.2500
050709,01.2603
050710,01.2500
050714,01.9025
050717,01.2827
050723,01.2827
050724,01.2500
050726,01.2891
050727,01.2827
050732,01.2500
050735,01.2827
050736,01.2827
050737,01.2827
050738,01.2827
050739,01.2827
050740,01.2827
050742,01.2827
050744,01.2603
050745,01.2603
050746,01.2603
050747,01.2603
050748,01.4493
050751,01.2827
050754,01.7301
050755,01.2827
050757,01.2500
050758,01.2603
050760,01.6900
050761,01.2827
050763,01.2827
050764,01.3950
050765,01.2500
050766,01.2500
050767,01.7030
050769,01.2603
050770,01.2500
050771,01.2827
050772,01.5862
050773,01.6923
050775,01.2500
050776,01.2827
050777,01.6923
050778,01.2603
050779,01.2827
050780,01.2603
050781,01.6280
050782,01.2827
050783,01.2500
050784,01.2500
051501,01.7986
051503,01.7251
051504,01.2827
051505,01.2500
051506,01.6900
051507,01.7827
051508,01.7251
051511,01.2500
051512,01.2827
051515,01.2500
051517,01.4349
051521,01.2827
051522,01.2500
051523,01.7251
051524,01.2500
051525,01.2827
051526,01.9025
051528,01.2500
051529,01.2827
051531,01.2500
051534,01.2500
051535,01.2827
051536,01.2500
051537,01.6960
051538,01.2500
051540,01.3666
051542,01.2827
051543,01.2500
051546,01.5862
051547,01.6900
051548,01.2827
051551,01.6900
051552,01.6900
051555,01.6900
051556,01.6900
051557,01.6085
051558,01.2805
051560,01.5862
051561,01.2500
051563,01.2827
051565,01.6960
051567,01.5862
051571,01.2500
051572,01.2500
051573,01.4015
051574,01.2500
051575,01.2500
051580,01.7827
051581,01.2500
051582,01.7251
051585,01.2500
051589,01.7827
051592,01.3666
051593,01.2500
051595,01.2500
051598,01.2500
051600,01.5862
051601,01.6900
051602,01.2500
051609,01.2500
051611,01.2500
051614,01.2500
051615,01.2827
051617,01.2500
051619,01.5862
051624,01.2500
051629,01.2500
051632,01.5862
051634,01.2827
051637,01.2500
051643,01.2500
051645,01.3950
051646,01.2500
051647,01.2500
051649,01.2805
051650,01.2500
051651,01.6960
051652,01.5862
051657,01.2500
051659,01.2500
051661,01.2827
051663,01.4349
051664,01.2827
051665,01.7251
051666,01.2500
051667,01.7251
051668,01.2827
051669,01.2500
051670,01.2500
051681,01.4015
051687,01.2827
051689,01.7251
051690,01.7827
051692,01.7986
051693,01.7827
051695,01.2500
051696,01.6085
051705,01.2500
051708,01.2500
051710,01.4349
051711,01.5862
051713,01.7986
051714,01.2500
051715,01.2827
051716,01.2500
051717,01.2500
051718,01.2827
051719,01.2827
051721,01.5862
051725,01.2500
051728,01.2500
051731,01.2827
051732,01.2500
051733,01.2500
051736,01.2500
051737,01.2827
051738,01.3950
051740,01.2500
051741,01.2500
051742,01.2827
051743,01.4349
051744,01.2827
051747,01.2827
051748,01.2500
051749,01.6900
051750,01.2827
051751,01.2500
051752,01.7251
051753,01.2827
051754,01.2827
051755,01.2827
051757,01.2500
051758,01.2827
051759,01.2827
051760,01.2827
051761,01.6085
051762,01.2827
051763,01.2500
051765,01.2827
051766,01.2827
051767,01.2500
051768,01.2827
051769,01.2500
051771,01.2500
051772,01.2827
051774,01.2827
051775,01.2500
051777,01.2500
051778,01.2827
051780,01.2500
051782,01.2827
051783,01.2827
051784,01.2827
051786,01.4349
051787,01.4349
051788,01.2500
051790,01.2827
051791,01.2500
051792,01.2500
051793,01.2500
051794,01.2827
051795,01.4349
051796,01.3950
051797,01.2500
051798,01.2500
051799,01.2500
052031,01.2827
052032,01.2827
052033,01.5862
052034,01.6923
052035,01.2500
052036,01.2500
052037,01.2500
052038,01.2827
052039,01.2500
052043,01.7251
052044,01.2500
052045,01.2827
052046,01.2827
052047,01.3950
052049,01.2500
052050,01.2827
052052,01.2500
052054,01.2827
052055,01.2891
053031,01.2500
053032,01.2500
053037,01.2500
053039,01.2827
053040,01.2891
053041,01.2500
053300,01.2500
053301,01.6923
053302,01.2827
053303,01.2500
053304,01.2500
053305,01.7827
053309,01.2827
054009,01.2827
054032,01.2827
054053,01.2827
054055,01.2827
054069,01.2827
054074,01.7030
054075,01.2500
054077,01.4349
054078,01.2827
054087,01.5862
054093,01.2500
054095,01.2500
054096,01.5862
054104,01.5862
054110,01.6923
054111,01.2500
054122,01.5649
054123,01.4493
054130,01.2500
054131,01.6900
054133,01.2827
054144,01.7251
054145,01.2500
054148,01.2827
054151,01.6280
054155,01.2500
054527,01.2500
054601,01.6900
054611,01.2500
054614,01.2500
054620,01.7538
054625,01.2500
054629,01.2500
054654,01.6900
054655,01.6900
054656,01.6900
054659,01.2827
054662,01.6900
054665,01.2827
054667,01.7251
054672,01.2500
057374,01.5862
058474,01.2827
058476,01.2827
058477,01.4349
058486,01.2827
058487,01.2827
058488,01.2827
058489,01.2500
058490,01.2500
058491,01.4349
058492,01.6900
058493,01.2500
058494,01.2827
058495,01.2827
058496,01.6900
058497,01.2827
058498,01.2827
058499,01.2827
059000,01.2827
059001,01.2827
059002,01.2827
059003,01.2827
059004,01.2827
059005,01.2827
059006,01.2827
059007,01.2827
059008,01.2827
059009,01.7827
059010,01.2805
059011,01.2827
059012,01.2827
059013,01.2500
059014,01.2500
059015,01.2500
059016,01.7251
059017,01.2827
059018,01.2827
059019,01.2827
059020,01.2500
059021,01.2500
059022,01.2500
059023,01.2500
059024,01.4349
059025,01.2500
059026,01.2500
059027,01.4349
059028,01.6900
059029,01.2500
059030,01.2827
059031,01.2827
059032,01.2500
059033,01.2500
059034,01.2500
059035,01.2827
059036,01.2827
059037,01.2827
059039,01.2827
059040,01.2827
059041,01.2827
059042,01.2827
059043,01.2827
059044,01.2827
059045,01.2827
059046,01.2500
059047,01.2827
059048,01.2827
059049,01.2827
059050,01.2827
059051,01.7827
059052,01.2827
059053,01.2827
059054,01.4349
059055,01.6900
059056,01.2827
059057,01.2500
059058,01.2827
059059,01.2827
059060,01.2827
059061,01.2827
059062,01.7827
059063,01.2500
059064,01.2827
059065,01.2827
059066,01.2500
059067,01.2827
059068,01.2827
059069,01.2827
059070,01.2827
059071,01.7251
059072,01.3666
059073,01.4349
059074,01.2827
059075,01.2827
059076,01.2827
059078,01.2500
059079,01.2827
059080,01.2827
059083,01.4349
059084,01.2827
059085,01.2827
059086,01.2827
059087,01.2827
059088,01.4349
059089,01.2500
059090,01.2500
059091,01.2827
059092,01.2827
059093,01.2827
059094,01.2827
059095,01.2827
059096,01.2827
059098,01.7251
059099,01.2500
059100,01.2827
059101,01.2827
059102,01.2827
059103,01.2500
059104,01.2827
059105,01.2827
059106,01.2827
059107,01.2500
059108,01.2827
059109,01.2827
059110,01.2500
059111,01.2500
059112,01.2500
059113,01.2827
059114,01.2827
059115,01.2827
059116,01.2827
059117,01.5862
059118,01.2827
059119,01.2827
059120,01.2827
059121,01.2500
059122,01.7827
059123,01.2500
059125,01.2827
059126,01.2827
059127,01.2827
059128,01.2827
059129,01.2805
059130,01.4349
059131,01.2827
059132,01.2500
059133,01.4349
059134,01.2827
059135,01.2827
059136,01.2827
059137,01.2827
059138,01.2827
059139,01.2827
059140,01.2827
059141,01.2827
059142,01.2827
059143,01.6960
059144,01.7986
059145,01.6900
059146,01.2827
059147,01.2827
059148,01.2827
059149,01.2827
059150,01.2827
059151,01.2827
059152,01.2827
059153,01.2827
059154,01.2500
059155,01.4349
059156,01.2827
059157,01.7827
059158,01.2827
059159,01.6960
059160,01.2827
059161,01.2827
059162,01.2827
059163,01.2827
059164,01.2827
059165,01.2827
059166,01.2827
059167,01.2827
059168,01.2827
059169,01.2827
059170,01.2827
059171,01.2827
059172,01.2827
059173,01.2827
059174,01.2827
059175,01.7986
059176,01.2827
059177,01.2827
059178,01.2827
059179,01.7827
059180,01.7827
059181,01.2827
059182,01.2500
059183,01.2827
059184,01.2827
059185,01.2827
059186,01.2827
059187,01.2827
059188,01.2827
059189,01.2827
059190,01.2827
059191,01.2827
059192,01.2500
059193,01.2827
059194,01.2827
059195,01.2827
059196,01.2827
059197,01.2827
059198,01.2827
059199,01.2827
059200,01.2500
059201,01.2827
059202,01.2827
059203,01.2827
059204,01.2827
059205,01.2827
059206,01.2827
059207,01.2500
059208,01.2500
059209,01.2827
059210,01.2500
059211,01.4349
059212,01.2827
059213,01.2827
059214,01.2827
059215,01.2500
059216,01.2500
059217,01.4015
059218,01.2827
059219,01.2500
059220,01.2500
059221,01.2500
059222,01.2500
059223,01.2500
059224,01.2500
059225,01.2500
059226,01.2500
059227,01.2500
059229,01.2827
059230,01.2827
059231,01.2827
059232,01.2827
059233,01.2827
059234,01.2827
059235,01.2500
059237,01.6900
059238,01.2827
059239,01.2827
059240,01.2827
059241,01.2827
059242,01.2827
059243,01.4349
059244,01.4349
059245,01.2827
059246,01.4349
059247,01.2500
059248,01.2500
059249,01.7827
059250,01.2500
059251,01.6960
059252,01.4349
059253,01.2827
059254,01.2827
059255,01.2827
059256,01.2827
059257,01.2827
059258,01.6900
059259,01.2500
059260,01.2500
059261,01.2827
059262,01.2827
059263,01.2827
059264,01.2827
059265,01.2827
059266,01.2827
059267,01.2827
059268,01.2827
059269,01.5862
059271,01.2827
059272,01.2827
059273,01.6900
059274,01.2500
059275,01.2827
059276,01.2500
059277,01.2500
059278,01.2827
059279,01.2827
059280,01.2827
059281,01.2827
059282,01.6085
059283,01.2827
059284,01.2827
059285,01.2827
059286,01.2827
059287,01.2827
059288,01.2827
059289,01.2827
059290,01.2827
059291,01.2827
059292,01.2827
059293,01.2805
059294,01.2500
059295,01.4349
059296,01.2500
059297,01.2827
059298,01.2827
059299,01.2827
059300,01.2827
059301,01.2500
059302,01.7827
059303,01.2500
059304,01.2827
059305,01.2827
059306,01.2827
059307,01.6900
059308,01.6900
059309,01.6900
